Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-12-20,The Batman,2022,https://boxd.it/5m2WwV,5,,watched in theater,2022-03-04
2023-12-20,The Batman,2022,https://boxd.it/5m2WJb,5,Yes,,2022-03-25
2023-12-20,Fantastic Beasts: The Secrets of Dumbledore,2022,https://boxd.it/5m2TWL,2.5,,watched in theater,2022-04-16
2023-12-20,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/5m32M1,3,,"watched in theater, cbm 💬",2022-05-06
2023-12-20,Top Gun,1986,https://boxd.it/5m2TaR,3.5,,,2022-06-15
2023-12-20,Top Gun: Maverick,2022,https://boxd.it/5m2SQd,5,,watched in theater,2022-06-16
2023-12-20,Elvis,2022,https://boxd.it/5m2XKp,3.5,,watched in theater,2022-06-29
2023-12-20,Sound of Metal,2019,https://boxd.it/5m310b,4,,,2022-09-10
2023-12-20,Prey,2022,https://boxd.it/5m36Gh,3.5,,,2022-09-17
2023-12-20,Thor: Love and Thunder,2022,https://boxd.it/5m324j,2,,cbm 💬,2022-09-23
2023-12-20,Werewolf by Night,2022,https://boxd.it/5m37y9,4.5,,cbm 💬,2022-10-07
2023-12-20,Citizen Kane,1941,https://boxd.it/5m32lT,4,,,2022-11-08
2023-12-20,Zen - Grogu and Dust Bunnies,2022,https://boxd.it/5m3395,0.5,,,2022-11-15
2023-12-20,There Will Be Blood,2007,https://boxd.it/5m33nL,3.5,,,2022-11-18
2023-12-20,Her,2013,https://boxd.it/5m33Ab,5,,,2022-11-19
2023-12-20,Her,2013,https://boxd.it/5m38Td,5,Yes,,2022-11-20
2023-12-20,Vice,2018,https://boxd.it/5m34oP,3,,,2022-12-05
2023-12-20,The Menu,2022,https://boxd.it/5m34C3,4.5,,watched in theater,2022-12-10
2023-12-20,Avatar,2009,https://boxd.it/5m35mv,3.5,,,2022-12-15
2023-12-20,Avatar: The Way of Water,2022,https://boxd.it/5m35wP,4,,,2022-12-17
2023-12-20,Dallas Buyers Club,2013,https://boxd.it/5m34Ph,5,,,2022-12-24
2023-12-20,Glass Onion,2022,https://boxd.it/5m2hTp,3.5,,,2022-12-31
2023-12-20,The Sound of Music,1965,https://boxd.it/5m2iFt,4,,,2023-01-06
2023-12-20,Arrival,2016,https://boxd.it/5m2iUj,4,,,2023-01-11
2023-12-20,Mad Max: Fury Road,2015,https://boxd.it/5m2jo9,5,,,2023-01-15
2023-12-20,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/5m2lpX,5,Yes,,2023-01-23
2023-12-20,The Lord of the Rings: The Two Towers,2002,https://boxd.it/5m2lBT,5,Yes,,2023-01-24
2023-12-20,The Lord of the Rings: The Return of the King,2003,https://boxd.it/5m2lVJ,5,Yes,,2023-01-26
2023-12-20,The Master,2012,https://boxd.it/5m2m63,3.5,,,2023-02-05
2023-12-20,Batman Begins,2005,https://boxd.it/5m2mjV,3.5,Yes,cbm 💬,2023-02-06
2023-12-20,The Dark Knight,2008,https://boxd.it/5m2E6Z,4.5,,cbm 💬,2023-02-08
2023-12-20,The Dark Knight Rises,2012,https://boxd.it/5m2EbZ,3.5,,cbm 💬,2023-02-10
2023-12-20,American Psycho,2000,https://boxd.it/5m2mup,4.5,Yes,,2023-02-12
2023-12-20,Bullet Train,2022,https://boxd.it/5m2mOf,4,,,2023-02-14
2023-12-20,Interstellar,2014,https://boxd.it/5m2n1t,5,,,2023-02-15
2023-12-20,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/5m2Dbf,1.5,,"watched in theater, cbm 💬",2023-02-17
2023-12-20,The Great Gatsby,2013,https://boxd.it/5m2nd5,3,,,2023-02-23
2024-06-10,Nightcrawler,2014,https://boxd.it/6EaZvn,4,,,2023-03-04
2023-12-20,Nightcrawler,2014,https://boxd.it/5m2nqN,4,Yes,,2023-03-06
2023-12-20,Once Upon a Time... in Hollywood,2019,https://boxd.it/5m2nGh,3,,,2023-03-11
2023-12-20,Creed III,2023,https://boxd.it/5m2nY1,3,,watched in theater,2023-03-12
2023-12-20,Morbius,2022,https://boxd.it/5m2od1,1,,cbm 💬,2023-03-23
2023-12-20,The Machinist,2004,https://boxd.it/5m2okL,3.5,,,2023-03-27
2023-12-20,The Departed,2006,https://boxd.it/5m2ovp,4.5,,,2023-04-01
2023-12-20,Star Wars: Clone Wars,2003,https://boxd.it/5m2oH1,4,,,2023-04-02
2023-12-20,Django Unchained,2012,https://boxd.it/5m2oQ3,5,,,2023-04-11
2023-12-20,TÁR,2022,https://boxd.it/5m2p3V,3.5,,,2023-04-13
2023-12-20,Frankenstein,1931,https://boxd.it/5m2plZ,4.5,,,2023-04-18
2023-12-20,Bride of Frankenstein,1935,https://boxd.it/5m2pzH,3.5,,,2023-04-20
2023-12-20,Creature from the Black Lagoon,1954,https://boxd.it/5m2pJH,3,,,2023-04-21
2023-12-20,Guardians of the Galaxy,2014,https://boxd.it/5m2pZ1,4,Yes,cbm 💬,2023-04-27
2023-12-20,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/5m2qj1,4,Yes,cbm 💬,2023-05-02
2023-12-20,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/5m2qo1,4,,"watched in theater, cbm 💬",2023-05-04
2023-12-20,Return of the Jedi,1983,https://boxd.it/5m2Um5,5,Yes,,2023-05-06
2023-12-20,The Wolf Man,1941,https://boxd.it/5m2qxx,4,,,2023-05-11
2023-12-20,Silver Linings Playbook,2012,https://boxd.it/5m2qIP,4,,,2023-05-14
2023-12-20,The Darjeeling Limited,2007,https://boxd.it/5m2qPr,3.5,,,2023-05-16
2023-12-20,Hotel Chevalier,2007,https://boxd.it/5m2rW9,3,,,2023-05-18
2023-12-20,The Phantom of the Opera,1925,https://boxd.it/5m2s7h,3.5,,,2023-05-18
2024-04-11,Castello Cavalcanti,2013,https://boxd.it/6fCf3N,3.5,,,2023-05-20
2024-04-11,Come Together,2016,https://boxd.it/6fCkd9,4,,,2023-05-20
2023-12-20,Inglourious Basterds,2009,https://boxd.it/5m2siT,4,,,2023-05-28
2023-12-20,Ford v Ferrari,2019,https://boxd.it/5m2suP,4.5,,,2023-06-01
2023-12-20,Lady Bird,2017,https://boxd.it/5m2sWp,4,,,2023-06-03
2023-12-20,The Wolf of Wall Street,2013,https://boxd.it/5m2t4j,3.5,,,2023-06-12
2023-12-20,American Hustle,2013,https://boxd.it/5m2tfh,3.5,,,2023-06-14
2023-12-20,The Devil All the Time,2020,https://boxd.it/5m2tnZ,3,,,2023-06-16
2023-12-20,Batman,1989,https://boxd.it/5m2tyt,3,,cbm 💬,2023-06-21
2023-12-20,Batman Returns,1992,https://boxd.it/5m2tGd,3,,cbm 💬,2023-06-23
2023-12-20,Bottle Rocket,1993,https://boxd.it/5m2tNX,3.5,,,2023-06-26
2023-12-20,Dune,2021,https://boxd.it/5m2uER,5,,,2023-06-28
2023-12-20,The Invisible Man,1933,https://boxd.it/5m2uPF,4,,,2023-07-03
2023-12-20,Robot Monster,1953,https://boxd.it/5m2uXf,1.5,,,2023-07-06
2023-12-20,Shame,2011,https://boxd.it/5m2v67,3.5,,,2023-07-08
2023-12-20,Simon of the Desert,1965,https://boxd.it/5m2vbV,4,,mexico 🇲🇽,2023-07-12
2023-12-20,Dirty Dancing,1987,https://boxd.it/5m2vi3,5,,,2023-07-15
2023-12-20,The French Dispatch,2021,https://boxd.it/5m2vpt,3.5,,,2023-07-16
2023-12-20,The Graduate,1967,https://boxd.it/5m2wlR,3,,,2023-07-17
2023-12-20,2001: A Space Odyssey,1968,https://boxd.it/5m2wBP,3,,wtf cinema❓,2023-07-18
2023-12-20,Barbie,2023,https://boxd.it/5m2wMD,3.5,,watched in theater,2023-07-20
2023-12-20,Oppenheimer,2023,https://boxd.it/5m2xwV,5,,watched in theater,2023-07-22
2023-12-20,Taxi Driver,1976,https://boxd.it/5m2xEZ,4.5,,,2023-07-25
2023-12-20,12 Angry Men,1957,https://boxd.it/5m2yfr,5,,,2023-07-26
2023-12-20,The Square,2017,https://boxd.it/5m2yvT,2.5,,sweden 🇸🇪,2023-07-27
2023-12-20,Belle de Jour,1967,https://boxd.it/5m2yHP,3.5,,france 🇫🇷,2023-08-01
2023-12-20,Eyes Wide Shut,1999,https://boxd.it/5m2znL,4,,,2023-08-02
2023-12-20,Marriage Story,2019,https://boxd.it/5m2z1b,4,,,2023-08-04
2023-12-20,Dunkirk,2017,https://boxd.it/5m2zUZ,3,,watched on a plane,2023-08-11
2023-12-20,The Prestige,2006,https://boxd.it/5m2AcJ,4,,watched on a plane,2023-08-11
2023-12-20,Good Will Hunting,1997,https://boxd.it/5m2Avh,4.5,,watched on a plane,2023-08-11
2023-12-20,65,2023,https://boxd.it/5m2ALT,2.5,,watched on a plane,2023-08-11
2023-12-20,Marcel the Shell with Shoes On,2021,https://boxd.it/5m2B2F,4,,watched on a plane,2023-08-11
2023-12-20,Grease,1978,https://boxd.it/5m2Bml,3,,watched on a plane,2023-08-11
2023-12-20,A Trip to the Moon,1902,https://boxd.it/5m2ExV,4,,"watched for class, france 🇫🇷, watched in theater, wtf cinema❓",2023-08-22
2023-12-20,The Great Train Robbery,1903,https://boxd.it/5m2EEn,3,,"watched for class, watched in theater",2023-08-22
2023-12-20,The Sprinkler Sprinkled,1895,https://boxd.it/5m2Fwf,,,"watched for class, france 🇫🇷, watched in theater",2023-08-22
2024-09-25,Workers Leaving the Lumière Factory,1895,https://boxd.it/7oQDEv,,,"france 🇫🇷, watched for class, watched in theater",2023-08-22
2024-09-22,The Girl and Her Trust,1912,https://boxd.it/7nqnVf,3.5,,"watched for class, watched in theater",2023-08-24
2024-09-22,A Corner in Wheat,1909,https://boxd.it/7nvOQh,3.5,,"watched for class, watched in theater",2023-08-24
2023-12-20,Modern Times,1936,https://boxd.it/5m2ESp,4.5,,"watched for class, watched in theater",2023-08-29
2023-12-20,La Haine,1995,https://boxd.it/5m2F3d,4,,france 🇫🇷,2023-09-01
2023-12-20,Manchester by the Sea,2016,https://boxd.it/5m2Fat,4,,,2023-09-04
2023-12-20,Mr. Smith Goes to Washington,1939,https://boxd.it/5m2Flh,4,,"watched for class, watched in theater",2023-09-05
2023-12-20,The Lighthouse,2019,https://boxd.it/5m2GhF,4,,wtf cinema❓,2023-09-09
2023-12-20,Asteroid City,2023,https://boxd.it/5m2G1R,3,,watched in theater,2023-09-11
2023-12-20,The Philadelphia Story,1940,https://boxd.it/5m2Gvx,3,,"watched for class, watched in theater",2023-09-12
2023-12-20,Double Indemnity,1944,https://boxd.it/5m2H8T,4.5,,"watched for class, watched in theater",2023-09-19
2023-11-21,The Lighthouse,2019,https://boxd.it/5c97Yj,4,Yes,wtf cinema❓,2023-09-21
2023-12-20,Back to the Future,1985,https://boxd.it/5m2Hul,5,,watched in theater,2023-09-24
2023-12-20,I Am Not Your Negro,2016,https://boxd.it/5m2HF9,3,,"watched for class, watched in theater",2023-09-26
2023-12-20,Dogtooth,2009,https://boxd.it/5m2HYb,3,,greece 🇬🇷,2023-10-01
2023-12-20,On the Waterfront,1954,https://boxd.it/5m2IpV,4,,"watched for class, watched in theater",2023-10-03
2023-12-20,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/5m2Je5,4,,"misc. screening, cbm 💬",2023-10-06
2023-12-20,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/5m2Jl1,4,,"misc. screening, cbm 💬",2023-10-07
2023-12-20,The Wonderful Story of Henry Sugar,2023,https://boxd.it/5m2Ke1,4,,,2023-10-08
2023-12-20,Independence Day,1996,https://boxd.it/5m2JI5,2.5,,"misc. screening, watched for class",2023-10-09
2023-12-20,Poison,2023,https://boxd.it/5m2Kp9,3.5,,,2023-10-09
2023-12-20,Rear Window,1954,https://boxd.it/5m2JPF,5,,"watched for class, watched in theater",2023-10-10
2023-12-20,The Rat Catcher,2023,https://boxd.it/5m2KwT,3,,,2023-10-11
2023-12-20,The Swan,2023,https://boxd.it/5m2KDb,3,,,2023-10-12
2023-12-20,Killers of the Flower Moon,2023,https://boxd.it/5m2OnL,3.5,,watched in theater,2023-10-14
2023-12-20,The Graduate,1967,https://boxd.it/5m2KMd,4.5,Yes,"watched for class, watched in theater",2023-10-17
2023-12-20,Halloween,1978,https://boxd.it/5m2LKd,4,,watched in theater,2023-10-22
2023-12-20,2001: A Space Odyssey,1968,https://boxd.it/5m2LvH,,Yes,"watched for class, watched in theater, wtf cinema❓",2023-10-24
2023-12-20,The Shining,1980,https://boxd.it/5m2LTf,3.5,,,2023-10-29
2023-12-20,"It's the Great Pumpkin, Charlie Brown",1966,https://boxd.it/5m2LZx,3.5,,"watched in theater, cbm 💬",2023-10-30
2023-12-20,Do the Right Thing,1989,https://boxd.it/5m2Mav,4.5,,"watched for class, watched in theater",2023-10-31
2023-12-20,Breaking the News,2023,https://boxd.it/5m2Mhh,,,"watched in theater, festival",2023-11-02
2023-12-20,Fatih The Conqueror,2023,https://boxd.it/5m2Ms5,2,,"france 🇫🇷, watched in theater, festival",2023-11-02
2023-12-20,Frybread Face and Me,2023,https://boxd.it/5m2MA9,3.5,,"watched in theater, festival",2023-11-02
2023-12-20,Jerry Maguire,1996,https://boxd.it/5m2MHJ,3,,,2023-11-04
2023-12-20,Fight Club,1999,https://boxd.it/5m2MV7,4,,"watched for class, watched in theater",2023-11-07
2023-12-20,Lincoln,2012,https://boxd.it/5m2NaL,4,,"watched for class, watched in theater",2023-11-14
2023-12-20,The Lobster,2015,https://boxd.it/5m2OwN,2.5,,wtf cinema❓,2023-11-18
2023-12-18,American Beauty,1999,https://boxd.it/5lvAyJ,5,,,2023-11-19
2023-12-20,Napoleon,2023,https://boxd.it/5m2OPl,3,,watched in theater,2023-11-22
2023-12-20,The Creator,2023,https://boxd.it/5m2OWB,3,,,2023-11-23
2023-12-20,Breathless,1960,https://boxd.it/5m2P3R,2,,france 🇫🇷,2023-11-24
2023-12-20,The Muppet Christmas Carol,1992,https://boxd.it/5m2PkN,4.5,,watched in theater,2023-11-27
2023-12-20,Parasite,2019,https://boxd.it/5m2Qdj,5,,"watched in theater, watched for class, south korea 🇰🇷",2023-11-28
2023-12-20,Oppenheimer,2023,https://boxd.it/5m2xVV,4.5,Yes,misc. screening,2023-12-02
2023-12-20,Everything Everywhere All at Once,2022,https://boxd.it/5m376J,4,Yes,"watched for class, watched in theater",2023-12-05
2023-12-20,Into the Wild,2007,https://boxd.it/5m2RxJ,3.5,,,2023-12-13
2023-12-20,The Man Who Sleeps,1974,https://boxd.it/5m2RJl,1.5,,france 🇫🇷,2023-12-17
2023-12-21,Back to the Future Part II,1989,https://boxd.it/5mDVmT,4,,,2023-12-20
