Date,Name,Year,Letterboxd URI
2023-09-07,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2023-09-07,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2023-09-07,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E
2023-09-07,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u
2023-09-07,American Psycho,2000,https://boxd.it/28Vs
2023-09-07,Bullet Train,2022,https://boxd.it/qW26
2023-09-07,Interstellar,2014,https://boxd.it/4VZ8
2023-09-07,Nightcrawler,2014,https://boxd.it/780m
2023-09-07,The Wolf Man,1941,https://boxd.it/1PG4
2023-09-07,Dune,2021,https://boxd.it/fA7G
2023-09-07,Dirty Dancing,1987,https://boxd.it/2baY
2023-09-07,Oppenheimer,2023,https://boxd.it/wUow
2023-09-07,Taxi Driver,1976,https://boxd.it/2b8y
2023-09-07,The Empire Strikes Back,1980,https://boxd.it/27Vw
2023-09-07,Return of the Jedi,1983,https://boxd.it/27Vm
2023-09-07,Star Wars,1977,https://boxd.it/72s
2023-09-07,12 Angry Men,1957,https://boxd.it/2auI
2023-09-07,The Prestige,2006,https://boxd.it/293w
2023-09-07,Modern Times,1936,https://boxd.it/25MC
2023-09-07,Top Gun: Maverick,2022,https://boxd.it/cjr4
2023-09-07,Jurassic Park,1993,https://boxd.it/2aA2
2023-09-07,The Batman,2022,https://boxd.it/eDGs
2023-09-07,Her,2013,https://boxd.it/4O24
2023-09-07,Dallas Buyers Club,2013,https://boxd.it/4O8G
2023-09-07,The Menu,2022,https://boxd.it/lScm
2023-12-18,American Beauty,1999,https://boxd.it/71Y
2024-01-01,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy
2024-01-01,Poor Things,2023,https://boxd.it/tNWU
2024-01-01,Do the Right Thing,1989,https://boxd.it/29gA
2024-01-01,Babylon,2022,https://boxd.it/mM02
2024-01-01,Back to the Future Part II,1989,https://boxd.it/2aYI
2024-01-01,The Muppet Christmas Carol,1992,https://boxd.it/1WgC
2024-01-01,The Graduate,1967,https://boxd.it/18Im
2024-01-01,Rear Window,1954,https://boxd.it/2a6Q
2024-01-01,Back to the Future,1985,https://boxd.it/2b8e
2024-01-01,Werewolf by Night,2022,https://boxd.it/xMrO
2024-01-01,The Lighthouse,2019,https://boxd.it/icFU
2024-01-01,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US
2024-01-01,The Dark Knight,2008,https://boxd.it/2b0k
2024-01-30,Whiplash,2014,https://boxd.it/7bQA
2024-03-04,Dune: Part Two,2024,https://boxd.it/pUfA
2024-03-06,The Holdovers,2023,https://boxd.it/vHza
2024-03-08,The Zone of Interest,2023,https://boxd.it/gJsA
2024-03-08,Good Time,2017,https://boxd.it/fcFu
2024-03-08,The Terminator,1984,https://boxd.it/2aQY
2024-03-08,Blade Runner,1982,https://boxd.it/2bcA
2024-03-08,It's a Wonderful Life,1946,https://boxd.it/28xA
2024-03-08,Parasite,2019,https://boxd.it/hTha
2024-03-08,Halloween,1978,https://boxd.it/2wRu
2024-03-08,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo
2024-03-08,Double Indemnity,1944,https://boxd.it/297I
2024-03-08,Manchester by the Sea,2016,https://boxd.it/b2L0
2024-03-08,La Haine,1995,https://boxd.it/2as8
2024-03-08,Good Will Hunting,1997,https://boxd.it/2ahY
2024-03-08,Ford v Ferrari,2019,https://boxd.it/ce74
2024-03-08,Lady Bird,2017,https://boxd.it/dGNE
2024-03-08,Silver Linings Playbook,2012,https://boxd.it/2TTo
2024-03-08,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI
2024-03-08,Guardians of the Galaxy,2014,https://boxd.it/3VH2
2024-03-08,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC
2024-03-08,Frankenstein,1931,https://boxd.it/25Te
2024-03-08,The Departed,2006,https://boxd.it/28MA
2024-03-08,The Dark Knight Rises,2012,https://boxd.it/H3m
2024-03-08,The Master,2012,https://boxd.it/2cBG
2024-03-08,The Sound of Music,1965,https://boxd.it/1MLK
2024-03-10,Naked,1993,https://boxd.it/1BT4
2024-03-10,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2024-03-10,On the Waterfront,1954,https://boxd.it/29TC
2024-03-10,Barbie,2023,https://boxd.it/bCLK
2024-03-10,Shame,2011,https://boxd.it/2CxU
2024-03-11,Call Me by Your Name,2017,https://boxd.it/dYmm
2024-03-24,The Crow,1994,https://boxd.it/1Yxq
2024-04-12,Monkey Man,2024,https://boxd.it/kvsO
2024-04-15,The Truman Show,1998,https://boxd.it/18U8
2024-04-22,Dead Poets Society,1989,https://boxd.it/2aSg
2024-04-25,LEGO Star Wars: Bombad Bounty,2010,https://boxd.it/2KJa
2024-04-28,LEGO Star Wars Holiday Special,2020,https://boxd.it/rtpC
2024-04-28,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/2aLu
2024-05-03,Star Wars: The Force Awakens,2015,https://boxd.it/4vru
2024-05-03,Star Wars: The Last Jedi,2017,https://boxd.it/5xme
2024-05-04,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK
2024-05-04,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc
2024-05-04,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2
2024-05-08,The Ministry of Ungentlemanly Warfare,2024,https://boxd.it/u5zu
2024-05-09,The Pit and the Pendulum,1961,https://boxd.it/1prM
2024-05-11,The Northman,2022,https://boxd.it/nK2s
2024-05-13,Johnny English,2003,https://boxd.it/1YyI
2024-05-14,Frybread Face and Me,2023,https://boxd.it/vPS0
2024-05-14,Jerry Maguire,1996,https://boxd.it/1YNS
2024-05-14,The Iron Claw,2023,https://boxd.it/w5Pm
2024-05-14,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/mK0a
2024-05-14,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2024-05-14,The Invisible Man,1933,https://boxd.it/1VoK
2024-05-14,Batman Returns,1992,https://boxd.it/2awa
2024-05-14,Batman,1989,https://boxd.it/2aIU
